0.507638634529 face 305.200012,266.000000,386.399994,265.399994,309.833344,285.666656,383.000000,285.166656,342.666656,323.555542,345.857147,363.428558,346.285706,377.857147
0.508143595994 face 302.200012,266.399994,381.399994,265.399994,307.333344,286.666656,379.166656,286.333344,334.888885,326.333344,339.285706,366.142853,340.285706,380.857147
0.508568006797 face 298.399994,260.000000,379.000000,258.600006,304.166656,279.833344,376.333344,279.000000,333.555542,319.888885,337.857147,360.428558,338.857147,375.428558
0.50902053434 face 298.000000,258.799988,379.000000,258.799988,302.833344,279.500000,376.166656,279.500000,334.555542,319.777771,338.142853,360.428558,338.714294,375.714294
0.509427467168 face 296.799988,260.200012,379.399994,258.600006,302.166656,278.666656,377.333344,277.500000,332.555542,318.777771,336.428558,360.285706,337.428558,374.714294
0.509906211672 face 293.200012,254.000000,366.200012,251.399994,296.833344,273.333344,366.333344,271.666656,324.888885,314.111115,329.142853,348.428558,330.428558,360.571442
0.510337461681 face 295.000000,254.600006,370.000000,256.399994,298.166656,273.166656,367.666656,274.833344,324.888885,313.222229,327.142853,346.714294,327.714294,360.142853
0.510835583939 face 295.600006,255.800003,364.600006,254.399994,298.666656,274.500000,363.833344,273.833344,325.333344,314.111115,328.571442,347.857147,329.428558,361.285706
0.511268733728 face 298.399994,254.000000,387.200012,253.199997,302.666656,274.333344,384.833344,273.333344,338.333344,315.000000,340.428558,357.428558,340.285706,371.571442
0.511710622505 face 304.799988,259.399994,386.799988,260.600006,308.333344,281.500000,383.666656,282.333344,343.222229,319.777771,343.571442,359.714294,343.857147,374.428558
0.512149091677 face 303.799988,259.200012,386.799988,262.600006,308.333344,280.833344,383.666656,284.000000,339.111115,321.666656,340.142853,362.428558,340.428558,377.142853
0.5125396864 face 286.000000,259.000000,364.200012,255.000000,289.666656,280.000000,362.500000,277.000000,325.666656,316.777771,327.714294,357.142853,328.714294,371.000000
0.513012351608 face 289.200012,256.000000,361.000000,253.800003,293.833344,273.500000,361.500000,272.500000,318.777771,313.666656,324.571442,347.428558,325.428558,359.571442
0.513282500293 face 289.000000,255.800003,364.200012,254.800003,293.833344,274.833344,363.500000,274.833344,320.111115,315.444458,324.571442,350.000000,325.428558,362.428558
0.513736927615 face 289.799988,253.600006,363.799988,251.800003,294.500000,273.500000,363.333344,273.333344,321.111115,314.222229,325.428558,349.285706,326.428558,362.857147
0.514185275643 face 285.600006,256.200012,367.799988,255.399994,289.000000,277.833344,364.500000,276.500000,325.000000,315.222229,327.428558,355.714294,328.000000,369.857147
0.514636663318 face 285.200012,253.399994,364.600006,250.199997,291.166656,272.833344,362.666656,270.333344,319.000000,312.777771,324.285706,348.285706,325.428558,360.000000
0.515080451874 face 285.399994,254.800003,361.399994,253.199997,290.833344,274.000000,360.833344,273.166656,317.777771,314.777771,323.428558,349.000000,324.714294,361.857147
0.515521580738 face 283.799988,253.000000,363.600006,250.199997,289.333344,271.833344,362.000000,270.833344,316.444458,312.888885,322.142853,348.428558,323.428558,359.428558
0.515836564225 face 281.399994,253.399994,362.000000,250.000000,288.166656,272.166656,359.833344,270.333344,314.888885,313.000000,321.714294,347.714294,323.142853,360.428558
0.516104433174 face 283.200012,249.600006,364.000000,246.399994,289.666656,270.333344,360.500000,267.833344,316.888885,309.666656,321.857147,347.000000,323.142853,361.428558
0.516372302123 face 287.000000,249.000000,365.200012,246.600006,292.666656,268.666656,362.166656,267.000000,317.666656,309.111115,322.285706,344.857147,323.428558,358.285706
0.516627252569 face 289.600006,251.800003,366.600006,250.199997,294.833344,271.333344,364.000000,270.666656,318.888885,309.333344,323.000000,344.285706,323.428558,358.857147
0.516882582971 face 288.200012,250.600006,380.399994,245.000000,291.666656,272.000000,380.333344,267.833344,329.555542,317.888885,335.428558,359.428558,336.571442,372.714294
0.51731383298 face 301.799988,265.200012,381.799988,266.600006,305.000000,289.000000,379.166656,289.833344,337.777771,328.777771,340.428558,368.000000,341.285706,383.000000
0.517533827479 face 306.799988,268.600006,385.200012,269.399994,308.666656,290.833344,382.833344,291.666656,343.777771,329.555542,344.571442,368.285706,345.142853,383.285706
0.517754961845 face 299.200012,254.399994,386.799988,258.399994,303.000000,274.500000,385.833344,278.166656,336.111115,323.000000,340.142853,366.000000,340.285706,379.714294
0.517976096211 face 295.399994,257.600006,381.200012,253.199997,299.666656,277.333344,380.500000,273.000000,335.222229,320.333344,338.571442,362.857147,339.714294,375.714294
0.518229146877 face 291.200012,253.199997,378.600006,250.800003,296.333344,271.500000,377.000000,269.333344,328.888885,315.444458,334.000000,357.428558,335.285706,371.428558
0.518501955253 face 290.600006,251.000000,365.600006,248.600006,294.666656,268.500000,364.500000,266.666656,321.111115,309.222229,326.000000,344.000000,327.428558,359.000000
0.518695732791 face 289.799988,251.800003,366.600006,247.600006,293.833344,269.000000,365.333344,265.833344,323.333344,308.000000,327.714294,344.142853,329.000000,357.857147
0.518884950856 face 287.399994,250.800003,365.399994,246.800003,292.666656,269.166656,364.166656,265.666656,322.222229,307.222229,327.000000,342.714294,328.714294,356.714294
0.519058970684 face 290.000000,247.600006,367.600006,247.000000,294.833344,267.000000,364.666656,267.000000,322.111115,307.111115,325.571442,344.000000,326.428558,358.857147
0.519254268045 face 290.399994,249.399994,369.399994,249.000000,294.666656,267.166656,365.500000,267.666656,322.444458,308.666656,325.714294,344.857147,326.285706,359.000000
0.519452225098 face 290.399994,249.800003,366.399994,248.199997,294.833344,269.833344,363.833344,268.166656,321.333344,308.555542,325.285706,344.571442,326.142853,358.428558
0.519646762547 face 290.799988,248.800003,368.000000,247.199997,295.333344,266.833344,365.500000,266.166656,323.666656,306.555542,326.714294,341.285706,327.857147,355.142853
0.520101569826 face 290.200012,249.399994,367.200012,247.600006,295.333344,268.166656,364.666656,266.833344,323.111115,307.333344,327.285706,343.142853,328.285706,357.285706
0.520391096264 face 288.000000,247.800003,365.600006,246.199997,292.166656,266.666656,362.666656,266.166656,317.222229,308.111115,322.571442,345.000000,323.428558,358.285706
0.520633508164 face 288.600006,247.600006,367.399994,247.199997,293.833344,267.166656,364.000000,267.500000,319.666656,308.222229,323.571442,345.428558,324.000000,359.285706
0.520861101781 face 289.200012,247.000000,367.000000,245.600006,294.833344,267.666656,364.166656,266.833344,320.444458,307.555542,323.857147,344.714294,324.428558,358.857147
0.521079576455 face 288.000000,248.800003,367.399994,246.399994,293.500000,268.333344,364.166656,267.166656,319.222229,307.555542,323.571442,345.571442,324.285706,359.857147
0.521286652451 face 289.000000,248.600006,366.799988,246.800003,293.333344,267.166656,363.500000,266.166656,319.666656,307.222229,323.714294,344.857147,324.857147,357.428558
0.521642291226 face 288.600006,247.000000,367.600006,245.600006,292.833344,267.333344,363.833344,266.333344,324.333344,306.000000,327.000000,344.000000,327.571442,358.571442
0.522165490576 face 291.200012,248.600006,366.799988,247.800003,294.833344,267.833344,363.666656,267.666656,321.333344,306.444458,324.714294,344.428558,325.142853,358.571442
0.522513150276 face 289.200012,247.399994,366.200012,246.600006,293.500000,268.666656,364.166656,268.666656,321.111115,306.666656,324.142853,345.285706,324.714294,360.285706
0.522924642575 face 292.600006,247.600006,367.200012,246.399994,296.666656,268.000000,365.166656,267.666656,322.666656,306.555542,326.285706,344.714294,326.571442,359.571442
0.523403767035 face 292.000000,248.000000,366.600006,245.199997,296.000000,269.000000,365.166656,267.000000,323.222229,305.888885,326.714294,343.857147,327.857147,359.428558
0.523846035768 face 291.000000,246.800003,366.799988,245.000000,295.833344,267.833344,364.833344,266.833344,322.222229,305.111115,325.571442,341.142853,326.571442,356.000000
