61.9503454774 start all
73.6236847255 @gui opt=g_to_i,j_to_m
73.6887967278 @engine sel=0
73.6906630849 @gui opt=g_to_h,i
73.8095707797 @engine sel=1
73.8114819719 @audio i
73.8119554004 @gui opt=a_to_m,n_to_z
73.9507197368 @engine sel=0
73.953072821 @gui opt=a_to_f,g_to_m
74.0025236857 @engine sel=1
74.0049732794 @gui opt=g_to_i,j_to_m
74.1771196471 @engine sel=1
74.1789480084 @gui opt=j_to_k,l_to_m
74.3673805457 @engine sel=1
74.3692962975 @gui opt=l,m
74.6274721538 @engine sel=1
74.6292541601 @audio m
74.6296819936 @gui opt=a_to_m,n_to_z
74.8137092898 @engine sel=1
74.8154438013 @gui opt=n_to_s,t_to_z
75.0057183784 @engine sel=1
75.0074669483 @gui opt=t_to_v,w_to_z
75.2016064654 @engine sel=1
75.2033831523 @gui opt=w_to_x,y_to_z
75.388298032 @engine sel=1
75.3900902972 @gui opt=y,z
75.6082500432 @engine sel=1
75.610017991 @audio z
75.6104940793 @gui opt=a_to_m,n_to_z
75.8094537524 @engine sel=1
75.8112080217 @gui opt=n_to_s,t_to_z
76.0118357135 @engine sel=1
76.0135827636 @gui opt=t_to_v,w_to_z
76.2384787974 @engine sel=1
76.2402319268 @gui opt=w_to_x,y_to_z
76.4687466872 @engine sel=1
76.4705617499 @gui opt=y,z
76.6611782899 @engine sel=1
76.6629948725 @audio z
76.6635610109 @gui opt=a_to_m,n_to_z
76.8615411505 @engine sel=1
76.8632825012 @gui opt=n_to_s,t_to_z
77.1237783853 @engine sel=1
77.1254904792 @gui opt=t_to_v,w_to_z
77.3421919437 @engine sel=1
77.3439139166 @gui opt=w_to_x,y_to_z
77.5602464412 @engine sel=1
77.561968414 @gui opt=y,z
77.8427373744 @engine sel=1
77.8444642867 @audio z
77.8449206171 @gui opt=a_to_m,n_to_z
79.1192629561 gui exiting
